ms_Aleph_id	library	holding institution	script	style	comment	958(2)	start_date	end_date	raw_date	name	Ktiv URL
43997	Jerusalem - The National Library of Israel	Jerusalem - The National Library of Israel Ms. Heb. 8°2647	איטלקי	בינוני	aka Epstein	איטלקית בינונית, קליגרפית	1520	1520	1520 בערך.	מסעות בנימין :	https://web.nli.org.il/sites/NLIS/en/ManuScript/Pages/Item.aspx?ItemID=PNX_MANUSCRIPTS990000439970205171
80173	St. Petersburg - Russian National Library	סנקט פטרבורג - ספריה לאומית 750 EVR I	קראי			קראית	1655	1655	תט"ו (1655).	מסעות משה הלוי הירושלמי.	https://web.nli.org.il/sites/NLIS/en/ManuScript/Pages/Item.aspx?ItemID=PNX_MANUSCRIPTS990000801730205171
95881	Roma - Biblioteca Casanatense	רומא - קזנטנזה 1/3097	איטלקי			איטלקית	1428	1428	קפ"ט (1428).	מסעות בנימין.	https://web.nli.org.il/sites/NLIS/en/ManuScript/Pages/Item.aspx?ItemID=PNX_MANUSCRIPTS990000958810205171
99563	Oxford - Bodleian Library	אוקספורד - בודלי, קטלוג נויבאואר 7/2425	ספרדי			ספרדית	1400	1499	מאה ט"ו.| 14--	מסעות בנימין.	https://web.nli.org.il/sites/NLIS/en/ManuScript/Pages/Item.aspx?ItemID=PNX_MANUSCRIPTS990000995630205171
122303	London - British Library	לונדון - הספריה הבריטית, קטלוג מרגליות 18/1076	אשכנזי			אשכנזית	1200	1399	מאה י"ג-י"ד.| 12--| 13--	מסעות בנימין.	https://web.nli.org.il/sites/NLIS/en/ManuScript/Pages/Item.aspx?ItemID=PNX_MANUSCRIPTS990001223030205171
