ID	BHB-uri	dcterms:lanugage	dcterms:title	fabio:hasSubtitle	mrel:pup	dijest:kimaID	dijest:locStatus	dijest:printer	dcterms:publisher	dcterms:created	dijest:Haskama	bf:note
	108180	heb	מסעי היר"ח	[רחמים יוסף חיים אופלטקה] באה"ק תובב"א [באייר תרל"ו, 1876] ...	Jerusalem	691	NULL	דפוס אליהו ומשה חי ששון	TBD	1876	TBD	TBD
	109431	heb	אוצר מסעות	קובץ תיורים של נוסעים יהודים בארץ ישראל, סוריא, מצרים וארצות אחרות. רשימות עולי רגל לקברי אבות וקדושים. עם מפות, הערות ומפתח. נסדרו ונערכו על-פי כתבי-יד ונוסחאות בהוצאות שונות, מאת יהודה דוד אייזנשטיין ...	New York	32	NULL	TBD	י. ד. אייזנשטיין	1926	TBD	לפני השער הראשי שער מצוייר: 1839-1165. אוצר מסעות ...
	113413	heb	מסעות של רבי בנימן זל	NULL	Istanbul	533	NULL	TBD	TBD	1543	TBD	המחבר יצא למסעותיו בין תתקי"ט-תתקכ"ז [1159-1167].
	113414	heb	מסעות של רבי בנימן ז"ל	NULL	Ferrara	423	NULL	TBD	TBD	1555	TBD	קולופון: תם ונשלם ... היום יום ה יא תשרי ... שנת שיו נדחים לפ"ק פה פיררא ...
	113415	heb	מסעות של רבי בנימן	NULL	Freiburg im Breisgau	685	NULL	דפוס הזיפרוני	TBD	1583	TBD	TBD
	113416	lat	מסעות של רבי בנימין	Itinerarivm d. Beniaminis, cum versione & notis Constantini L'Emperevr ab Oppyck ...	Leiden	134	NULL	TBD	TBD	1633	TBD	עברית עם תרגום לאטיני, בשתי עמודות.
	113417	heb	מסעות של רבי בנימן ז"ל	Itinerarium d. Benjaminis ....	Leiden	134	NULL	TBD	TBD	1633	TBD	באותה שנה נדפסה הוצאה אחרת עם תרגום לאטיני.
	113418	heb	מסעות של רבי בנימין הרופא ז"ל	שנסע בג' חלקי העולם, עאורופא, אזיאה, אפריקא ... ונדפס שלש פעמי' ומן השלשה הכי נכבד, באשר שהראשוני' הם בקצת מקומו' כספר חתום שקוראי' מקומות ואינם יודעי' מה הם קוראי' ... וכאן אתה מוצא כל דבר וכל מקום על שם מכונו כמורגל בפי ההמוני והביאו לדפוס התורני רבי אליקים בהר'ר יעקב ש"ץ ז"ל חזן באמשטרדם ...	Amsterdam	550	NULL	TBD	TBD	1698	TBD	כרוך עם ספר מקוה ישראל לר' מנשה בן ישראל, אמשטרדם תנ"ח.
	113419	heb	מסעות של רבי בנימין	. נדפסו בעיון יוחנן אנדריאס מיכאל נאגיל לתועלת תלמידיו פה ישיבה מהוללה ...	Altdorf	6499	NULL	דפוס יוחנן אדם היזזיל	TBD	1762	TBD	TBD
	113420	heb	מסעות של רבי בנימין	NULL	Sulzbach	TBD	NULL	דפוס אהרן בן משלם זלמן	TBD	1783	TBD	TBD
