toponym-index,toponym_id,Toponym mention @Asher,incident - xpath_location,GeoNarrative,seq_number,PlaceID
1,BTAsherT1,שרקושטה,/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[1],1,1,K6347
2,BTAsherT2,איברו,/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[2],1,2,GN3123754
3,BTAsherT3,טורטושה,/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[3],1,3,K9805
4,BTAsherT4,טרכונה,/TEI[1]/text[1]/body[1]/ab[1]/seg[2]/placeName[1],1,4,K7559
5,BTAsherT5,ספרד,/TEI[1]/text[1]/body[1]/ab[1]/seg[2]/placeName[2],1,,K6471
6,BTAsherT6,ברצלונה,/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[1],1,5,K582
7,BTAsherT7,יון,/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[2],1,,K8822
8,BTAsherT8,פישה,/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[3],1,,K251
9,BTAsherT9,גינואה,/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[4],1,,K877
10,BTAsherT10,סיסילייא,/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[5],1,,K6284
11,BTAsherT11,אלכסנדריה,/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[6],1,,K667
12,BTAsherT12,מצרים,/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[7],1,,K8046
13,BTAsherT13,ארץ ישראל,/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[8],1,,K2501
14,BTAsherT14,גירונדה,/TEI[1]/text[1]/body[1]/ab[1]/seg[4]/placeName[1],1,6,K8720
15,BTAsherT15,נרבונה,/TEI[1]/text[1]/body[1]/ab[1]/seg[5]/placeName[1],1,7,K10031
16,BTAsherT16,בידרש,/TEI[1]/text[1]/body[1]/ab[1]/seg[6]/placeName[1],1,8,K7195
17,BTAsherT17,הר געש,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[1],1,9,K7467
18,BTAsherT18,מונפישלייר,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[2],1,9,K7467
19,BTAsherT19,אל-ערוה,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[3],1,,K7951
20,BTAsherT20,לונברדייא,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[4],1,,K10968
21,BTAsherT21,רומא רבתא,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[5],1,,K7637
22,BTAsherT22,מצרים,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[6],1,,K8046
23,BTAsherT23,ארץ ישראל,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[7],1,,K2501
24,BTAsherT24,יון,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[8],1,,K8822
25,BTAsherT25,צרפת,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[9],1,,K6399
26,BTAsherT26,ספרד,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[10],1,,K6471
27,BTAsherT27,אינגלטירה,/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[11],1,,K12708
28,BTAsherT28,לוניל,/TEI[1]/text[1]/body[1]/ab[1]/seg[8]/placeName[1],1,10,K12204
29,BTAsherT29,פותייקיירש,/TEI[1]/text[1]/body[1]/ab[1]/seg[9]/placeName[1],1,11,K7808
30,BTAsherT30,נוגריש,/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[1],1,12,K10262
31,BTAsherT31,בורק דשל גיל,/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[2],1,12,K10262
32,BTAsherT32,רודי,/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[3],1,,K2047
33,BTAsherT33,פרובנצה,/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[4],1,,K8962
34,BTAsherT34,ארליט,/TEI[1]/text[1]/body[1]/ab[1]/seg[11]/placeName[1],1,13,K7224
35,BTAsherT35,מרשילייה,/TEI[1]/text[1]/body[1]/ab[1]/seg[12]/placeName[1],1,14,K7085
