ID	BHB-uri	dcterms:lanugage	dcterms:title	fabio:hasSubtitle	mrel:pup	dijest:kimaID	dijest:locStatus	dijest:printer	dcterms:publisher	dcterms:created	dijest:Haskama	bf:note
BTAdler	129830	Eng	The Itinerary of Benjamin of Tudela	Critical text, translation and commentary	London	688			H. Frowde	1907		
CEisenstein	109431	heb	אוצר מסעות	קובץ תיורים של נוסעים יהודים בארץ ישראל, סוריא, מצרים וארצות אחרות. רשימות עולי רגל לקברי אבות וקדושים. עם מפות, הערות ומפתח. נסדרו ונערכו על-פי כתבי-יד ונוסחאות בהוצאות שונות, מאת יהודה דוד אייזנשטיין ...	New York	32	NULL	TBD	י. ד. אייזנשטיין	1926	TBD	לפני השער הראשי שער מצוייר: 1839-1165. אוצר מסעות ...
BTConstantinople	113413	heb	מסעות של רבי בנימן זל	NULL	Istanbul	533	NULL	TBD	TBD	1543	TBD	"המחבר יצא למסעותיו בין תתקי""ט-תתקכ""ז [1159-1167]."
BTAsher	122795	heb	"מסעות של רבי בנימן ז""ל"	(Vol. I-II).	London	688	NULL	TBD	(A. Asher & Co., Berlin)	1841-1840	TBD	The itinerary of Rabbi Benjamin of Tudela. Translated and edited by A. Asher ...
CYaari	136396	heb	מסעות ארץ ישראל	של עולים יהודים מימי הבינים ועד ראשית ימי שיבת ציון, קיבצם וביארם אברהם יערי	Tel Aviv	272	NULL	"(דפוס ""אחדות"")"	"המחלקה לעניני הנוער של ההסתדרות הציונית בהוצאת ""גזית"""	1946		
