id	url	geotype	lat	lng
K651	http://geo-kima.org/place/651	point	33.897902	35.501176
K13639	http://geo-kima.org/place/13639	point	33.560243	35.371208
K21726	http://geo-kima.org/place/21726	point	33.416111	35.8575
K14095	http://geo-kima.org/place/14095	point	33.268071	35.209358
K10934	http://geo-kima.org/place/10934	point	43.205842	2.364076
U12		point		
K71	http://geo-kima.org/place/71	point	32.920744	35.068626
K21499	http://geo-kima.org/Places/Details?id=21499	line		
K791	http://geo-kima.org/Places/Details?id=791	point	32.8	34.98333333
K1156	http://geo-kima.org/Places/Details?id=1156	point	32.6725	35.023333
K26255	http://geo-kima.org/Places/Details?id=26255	point	32.829729	34.967766
U5		point		
K4090	http://data.geo-kima.org/Places/Details?id=4090	point	33.44948	35.29948
