Toponym mention @Asher	url	id	geotype	lat	lng
מיטילין	http://sws.geonames.org/256866	GN256866	point	39.10772	26.55529
כא	http://geo-kima.org/place/17289	K17289	point	38.414	26.053
סמו	http://geo-kima.org/place/14268	K14268	point	37.73	26.84
רודוש	http://geo-kima.org/place/2044	K2044	point	36.43333333	28.21666667
כיפרוס	http://geo-kima.org/place/7562	K7562	point	35.04088353	33.27533716
קורקוס	https://pleiades.stoa.org/places/638939	PL638939	point	36.465278	34.154167
דוכיא	http://geo-kima.org/Places/Details?id=16830	K16830	point	36.191111	44.009167
תרשיש		U10	point		
מלמישטרש		U11	point		
יבוק		U9	line		
אנטוכיא הגדולה	http://data.geo-kima.org/Places/11503	K11503	point	36.200663	36.165318
נהר פיר	http://data.geo-kima.org/Places/Details?id=5150	K5150	line	35.2728339	36.4825754
חמת	http://geo-kima.org/place/11554	K11554	point	35.1359	36.7495
לודקיא	http://geonames.org/173576	GN173576	point	35.53168	35.79011
בעל גד	http://geo-kima.org/Places/Details?id=18052	K18052	point	34.116667	35.65
הר הלבנון	http://geo-kima.org/Places/Details?id=15821	K15821	point	34.30096	36.11575
קרמוס	http://geonames.org/173389	GN173389	point	35.09855	36.15984
סיחון		U8	polygon		
טראבלוס אל שאם	http://geo-kima.org/place/13529	K13529	point	34.447	35.817833
גיבל	http://geo-kima.org/Places/Details?id=15288	K15288	point	34.116667	35.65
בארות	http://geo-kima.org/place/651	K651	point	33.897902	35.501176
צידון	http://geo-kima.org/place/13639	K13639	point	33.560243	35.371208
חרמון	http://geo-kima.org/place/21726	K21726	point	33.416111	35.8575
צור החדשה	http://geo-kima.org/place/14095	K14095	point	33.268071	35.209358
קרקשונה	http://geo-kima.org/place/10934	K10934	point	43.205842	2.364076
צור המעטירה		U12	point		
אקרי	http://geo-kima.org/place/71	K71	point	32.920744	35.068626
קדומים	http://geo-kima.org/Places/Details?id=21499	K21499	line		
גת החפר	http://geo-kima.org/Places/Details?id=791	K791	point	32.8	34.98333333
הר הכרמל	http://geo-kima.org/Places/Details?id=1156	K1156	point	32.6725	35.023333
מערת אליהו	http://geo-kima.org/Places/Details?id=26255	K26255	point	32.829729	34.967766
שנט אליש		U5	point		
