toponym-index	Toponym mention @Asher	incident - xpath_location	GeoNarrative	seq_number	PlaceID	Toponym mention @Asher(2)	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London	interMSSindex
1	שרקושטה	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[1]	1	1	K6347	שרקושטה	שרקושטה	סרקוסטא	שרקוסטה	סרקסטא	198
2	איברו	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[2]	1	2	GN3123754	איברו	איברו	איברי	איברו	אברו	202
3	טורטושה	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[3]	1	3	K9805	טורטושה	טורטושה	ל??זורה	טורטוסה	טרטושא	203
4	טרכונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[2]/placeName[1]	1	4	K7559	טרכונה	טרבונה	נירגונה	טרבונה	תרכונה	210
5	ספרד	/TEI[1]/text[1]/body[1]/ab[1]/seg[2]/placeName[2]	1		K6471	ספרד	ספרד	ספרד	ספרד	ספרד	224
6	ברצלונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[1]	1	5	K582	ברצלונה	ברצלונה	ברצלונה	ברזילונה	ברצלונה	233
7	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[2]	1		K8822	יון	יון	יון	יון	יוון	272
8	פישה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[3]	1		K251	פישה	פישה	פיסא	פישה		273
9	גינואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[4]	1		K877	גינואה	גינואה	יינובא	גיינובה		274
10	סיסילייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[5]	1		K6284	ציקיליה	סיסילייא	סיציליאה	סיסיליא	צקיליה	275
11	אלכסנדריה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[6]	1		K667	אלכסנדריה	אלסכנדריא	אלכסנדר	אליכסאכרה	אסכנדריאה	277
12	מצרים	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[7]	1		K8046	מצרים	מצרי'	מצרים	מצרים	מצרים	279
13	ארץ ישראל	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[8]	1		K2501	ארץ ישראל	ארץ ישראל	ארץ ישראל	ארץ ישראל	ארץ ישראל	280-281
14	גירונדה	/TEI[1]/text[1]/body[1]/ab[1]/seg[4]/placeName[1]	1	6	K8720	גירונדה	גירונדה	גירונה	גירונה	גרונדה	290
15	נרבונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[5]/placeName[1]	1	7	K10031	נרבונה	נרבונה	נרבונה	נירבונה		299
16	בידרש	/TEI[1]/text[1]/body[1]/ab[1]/seg[6]/placeName[1]	1	8	K7195	בידרש	בידרש	בדרש	בידרש	בדרש	364
17	הר געש	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[1]	1	9	K7467	מונפישלייר	הר געש	הר געש	הר געש	געש	384-385
18	מונפישלייר	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[2]	1	9	K7467	מונפישלייר	מונפישלייר	מונפישליר	מונפישלייר	מונט פשליר	387-388
19	אל-ערוה	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[3]	1		K7951	אל-ערוה	אל עדוה		אלעדוה	אל עדוה	405-406
20	לונברדייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[4]	1		K10968	לונברדייא	לונברדייא	לומרדיאה	למוברדיאה	לונברדיאה	407
21	רומא רבתא	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[5]	1		K7637	רומא רבתא	רומא רבתא	רומה רבתא	רומה רבתא	רומה רבתא	409-410
22	מצרים	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[6]	1		K8046	מצרים	מצרים		מצרים	מצרים	412-413
23	ארץ ישראל	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[7]	1		K2501	ארץ ישראל	ארץ ישראל		ארץ ישראל	ארץ ישראל	414-415
24	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[8]	1		K8822	יון	יון		יון	יוון	418
25	צרפת	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[9]	1		K6399	צרפת	צרפת		צרפת	צרפת	420
26	ספרד	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[10]	1		K6471	ספרד	ספרד		ספרד		422
27	אינגלטירה	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[11]	1		K12708	אינגלטירה	אינגלטירה		אינגילטירה	אינגלטירא	423
28	לוניל	/TEI[1]/text[1]/body[1]/ab[1]/seg[8]/placeName[1]	1	10	K12204	לוניל	לוניל	לוניל	לוניל	לוניל	477
29	פותייקיירש	/TEI[1]/text[1]/body[1]/ab[1]/seg[9]/placeName[1]	1	11	K7808	פותייקיירש	פותייקיירש		פורייקיירש	פושקרש	597
30	נוגריש	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[1]	1	12	K10262	בורק דשל גיל	נוגרש	מגרש	נוגרש	מגרש	679
31	בורק דשל גיל	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[2]	1	12	K10262	בורק דשל גיל	בורק דשל גיל	בורגו דשינגילי	בורקרשאלגיל	בורגו דשגיל	681
32	רודי	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[3]	1		K2047	רודי	רודי	רואתנו	רודי	רודנו	738
33	פרובנצה	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[4]	1		K8962	פרובנצה	פרובנצה	פירובינצא	פרובינצא	פרובינסה.	743
34	ארליט	/TEI[1]/text[1]/body[1]/ab[1]/seg[11]/placeName[1]	1	13	K7224	ארליט	ארליט		אליש	ארליד	761
35	מרשילייה	/TEI[1]/text[1]/body[1]/ab[1]/seg[12]/placeName[1]	1	14	K7085	מרשילייה	מרשילייה	מרשילה	מרסיליא	מרשיליה	785
36	גינואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[1]	2	1	K877	גינואה	גינואה	ייניבה	גיינובא	יינובה	964
37	סבתה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[2]	2		K8782	סבתה	סבתה	סיבתיא	סבתה	סבתה	899
38	גינואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[3]	2	1	K877	גינואה	גינואה	יינובה	גיינובא	יינובה	964
39	פישה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[4]	2	2	K251	פישה	פישא	פיסא	פיסה	פיסא	969
