toponym-index	Toponym mention @Asher	ASHER - xpath_location	GeoNarrative	seq_number	url	id	_ - primary_rom_full	_ - primary_heb_full	geotype	lat	lng	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London
138	נחל יבוק (אשר?)		7		http://data.geo-kima.org/Places/Details?id=5150	5150		נהר אורונטס	line	35.2728339	36.4825754				
139	הר הלבנון		7		http://geo-kima.org/Places/Details?id=15821	15821	Jabal Lubnān (Lebanon)	הר הלבנון (לבנון)	point	34.30096	36.11575				
140	חמת	/TEI[1]/text[1]/body[1]/ab[1]/seg[56]/placeName[3]	7		http://geo-kima.org/place/11554	11554	Ḥamāh (Syria)	חמאת (סוריה)	point	35.1359	36.7495				
141	ליגא	/TEI[1]/text[1]/body[1]/ab[1]/seg[58]/placeName[1]	7	4	http://geonames.org/173576				point	35.53168	35.79011				
142	לודקיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[58]/placeName[2]	7	4	http://geonames.org/173576				point	35.53168	35.79011				
143	גיבל	/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[1]	7	5	http://geo-kima.org/Places/Details?id=18052	18052	Jablah (Syria)	ג'בלה (סוריה)	point	35.359722	35.921389				
144	בעל גד		7	5	http://geo-kima.org/Places/Details?id=18052	18052	Jablah (Syria)	ג'בלה (סוריה)	point	34.116667	35.65				
145	הר הלבנון		7		http://geo-kima.org/Places/Details?id=15821	15821	Jabal Lubnān (Lebanon)	הר הלבנון (לבנון)	point	34.30096	36.11575				
146	קרמוס	/TEI[1]/text[1]/body[1]/ab[1]/seg[60]/placeName[1]	7		http://geonames.org/173389				point	35.09855	36.15984				
147	קדמות		7		http://geonames.org/173389				point	35.09855	36.15984				
148	סיחון	/TEI[1]/text[1]/body[1]/ab[1]/seg[60]/placeName[2]	7						polygon						
149	טריפול	/TEI[1]/text[1]/body[1]/ab[1]/seg[60]/placeName[3]	7		http://geo-kima.org/place/13529	13529	Tripoli (Lebanon)	טריפולי (לבנון)	point	34.447	35.817833				
150	טראבלוס אל*) שאם		7		http://geo-kima.org/place/13529	13529	Tripoli (Lebanon)	טריפולי (לבנון)	point	34.447	35.817833				
151	ארץ ישראל	/TEI[1]/text[1]/body[1]/ab[1]/seg[61]/placeName[1]	7		http://geo-kima.org/place/697	697		ישראל	polygon						
152	גיבל	/TEI[1]/text[1]/body[1]/ab[1]/seg[62]/placeName[1]	7	6	http://geo-kima.org/Places/Details?id=15288	15288	Jubayl (Lebanon)	גבל (לבנון)	point	34.116667	35.65				
153	בירוט		7	7	http://geo-kima.org/place/651	651	Beirut (Lebanon)	בירות (לבנון)	point	33.897902	35.501176				
154	בארות	/TEI[1]/text[1]/body[1]/ab[1]/seg[63]/placeName[1]	7	7	http://geo-kima.org/place/651	651	Beirut (Lebanon)	בירות (לבנון)	point	33.897902	35.501176				
155	ציידא	/TEI[1]/text[1]/body[1]/ab[1]/seg[64]/placeName[1]	7	8	http://geo-kima.org/place/13639	13639	Sidon (Lebanon)	צידון (לבנון)	point	33.560243	35.371208				
156	צידון	/TEI[1]/text[1]/body[1]/ab[1]/seg[65]/placeName[1]	7	8	http://geo-kima.org/place/13639	13639	Sidon (Lebanon)	צידון (לבנון)	point	33.560243	35.371208				
157	חרמון	/TEI[1]/text[1]/body[1]/ab[1]/seg[65]/placeName[2]	7		http://geo-kima.org/place/21726	21726	Mount Hermon (Israel)	הר חרמון (ישראל)	point	33.416111	35.8575				
158	צור החדשה	/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[1]	7	9	http://geo-kima.org/place/14095	14095	Tyre (Lebanon)	צור (לבנון)	point	33.268071	35.209358				
159	קרקשונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/persName[2]/placeName[1]	7		http://geo-kima.org/place/10934	10934	Carcassonne (France)	קרקסון (צרפת)	point	43.205842	2.364076				
160	צור החדשה	/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[2]	7	9	http://geo-kima.org/place/14095	14095	Tyre (Lebanon)	צור (לבנון)	point	33.268071	35.209358				
161	צור המעטירה	/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[3]	7		http://geo-kima.org/place/14095	14095	Tyre (Lebanon)	צור (לבנון)	point	33.268071	35.209358				
162	צור החדשה	/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[4]	7	9	http://geo-kima.org/place/14095	14095	Tyre (Lebanon)	צור (לבנון)	point	33.268071	35.209358				
163	אקרי	/TEI[1]/text[1]/body[1]/ab[1]/seg[67]/placeName[1]	7	10	http://geo-kima.org/place/71	71	Acre (Israel)	עכו (ישראל)	point	32.920744	35.068626				
164	עכו|	/TEI[1]/text[1]/body[1]/ab[1]/seg[67]/placeName[2]	7	10	http://geo-kima.org/place/71	71	Acre (Israel)	עכו (ישראל)	point	32.920744	35.068626				
165	ארץ ישראל		7		http://geo-kima.org/place/2501	2501		ארץ ישראל	polygon						
166	קדומים		8	11	http://geo-kima.org/Places/Details?id=21499	21499	Na'aman River (Israel)	נחל נעמן (ישראל)	line						
167	כיפש		8	12	http://geo-kima.org/Places/Details?id=791	791	Haifa (Israel)	חיפה (ישראל)	point	32.8	34.98333333				
168	גת החפר		8	12	http://geo-kima.org/Places/Details?id=791	791	Haifa (Israel)	חיפה (ישראל)	point	32.8	34.98333333				
169	הר הכרמל		8		http://geo-kima.org/Places/Details?id=1156	1156	Karmel, Mount (Israel)	הר הכרמל (ישראל)	point	32.6725	35.023333				
170	מערת אליהו		8		http://geo-kima.org/Places/Details?id=26255	26255	Elijah's Cave (Haifa, Israel)	מערת אליהו (חיפה, ישראל)	point	32.829729	34.967766				
171	שנט אליש		8						point	32.829729	34.967766				
