Asher	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London	Adler	placeName	tempindexreal	place_ID	Gazetter	ContexTypology	Borders&Hierarchies	vocabularyType	tripleComparsion
רומא	רומ׳	דומה	רומי	רומה	Rome	رومية	temp0081	#K440	KIMA	history		עיר	fullAgreement
					Naples		temp0081b	#K673	KIMA				
נאפולי	נאפול		נאפולי	נאפולי	Naples	نابل	temp0082	#K673	KIMA	itin		עיר+מדינה	fullAgreement
שלירנה	שלירפה	סלירנה	סלירפה	סלירנה	Salerno	سلرن	temp0083	#K6373	KIMA	itin		עיר	fullAgreement
ציפונת	ציפונת		צפונת	ציפינת	Siponto	السيفونتي	temp0084	#K7024	KIMA	biographic		עיר	fullAgreement
אמלפי	לאמלפי	למלכי	למלאלפי	מלכי	Amalfi	أمالفى	temp0085	#K6262*	KIMA	itin			fullAgreement
בינאבינטו	בנאבינטו	בינבנטו	ביניווינטו	בנבנתו	Benevento	بنفنتو	temp0086	#K6449	KIMA	itin		עיר	fullAgreement
מלפי	#ממלכי	מלפה	מלפי	מלפי	Melfi	مالفي	temp0087	#K12281	KIMA	itin			fullAgreement
פולייא	פוליא	פוליא	פוליא	פוליאה	Apulia	أفولية	temp0088	#K7555	KIMA				fullAgreement
פול	ארץ פול	ארץ פול	ארץ פול	ארץ פול	Pul		temp0089						AsherAdlerAgreement
					Melfi		temp0090	#K12281	KIMA				AdlerOnly
אשקולי	אסקולי		אסקולי	אשכולי	Ascoli	أشقولي	temp0091	#GN3182747	Geonames	itin			fullAgreement
טרנאה	טרנאה	טרני	טראני	טראני	Trani	تراني	temp0092	#K7879	KIMA	itin		עיר	fullAgreement
ירושלים	ירושלם	ירושלם	ירושלם	ירושלם	Jerusalem	القدس	temp0093	#K691	KIMA				fullAgreement
מיקילס דבר	מיקילס	נקולוש	מיקולסדבר	קול	Colo di Bari	نيقولاس دي باري	temp0094	#K7504	KIMA	itin			fullAgreement
