Asher	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London	Adler	placeName	tempindexreal	place_ID	Gazetter	ContexTypology	Borders&Hierarchies	vocabularyType	tripleComparsion
לוז	לוז	לוד	לוז	לוד	Ludd	لوز	temp0232	#K48396	KIMA				fullAgreement
שבשת	שבשת	שבשת	שבשת	שבשת	Sebastiya	سبسطية	temp0233	#Q1757438	Wikidata	itin		היתה עיר בצורה	fullAgreement
שומרון	שומרון	שומרון	שומרון	שומרון	Shomron	السامرة	temp0234	#Q1757438	Wikidata	idt			fullAgreement
ארמון אחאב					palace of 	قصر آخاب بن عمري ملك إسرائيل	temp0235						fullAgreement
נבילש	נבילש	נפליש	נאבילוס	נפלוש	Nablous	نابلس	temp0236	#K5412	KIMA	itin			fullAgreement
שכם	שכם	שכם	שכם	שכם	Shechem	شيكيم	temp0237	#K5412	KIMA				fullAgreement
הר אפרים	אפרים	אפרים	אפרים	אפרים	"Mount
                        Ephraim"	جبل إفرايم	temp0238					הר	fullAgreement
הר גריזים	גריזים	גרזים	גריזים	גריזים	Mount Gerizim	جبل جرزيم	temp0239	#Q1288751	Wikidata			הר	fullAgreement
הר עיבל	עיבל	עיבל	עיבל	עיבל	Mount Ebal	جبل عيبال	temp0240	#Q1975866	Wikidata			הר	fullAgreement
הר גריזים					"Mount
                        Gerizim"	جبل الجرزيم	temp0241	#Q1288751	Wikidata			הר	fullAgreement
הר גריזים					"Mount
                    Gerizim"		temp0242	#Q1288751	Wikidata			הר	AsherAdlerAgreement
הר גריזים					Mount Gerizim		temp0243	#Q1288751	Wikidata			הר	AsherAdlerAgreement
					"Mount
                        Gerizim"		temp0243a	#Q1288751	Wikidata				
קבר יוסף	יוסף	יוסף	יוסף	יוסף	grave of Joseph	قبر يوسف	temp0244	#Q1297538	Wikidata			קבר	fullAgreement
שכם	שכם	שכם	_	שכם	Shechem		temp0245	#K5412	KIMA				AsherAdlerAgreement
הר גריזים					"Mount
                        Gerizim"	جبل جرزيم	temp0246	#Q1288751	Wikidata	itin?		הר	fullAgreement
הר עיבל					"Mount
                        Ebal"	جبل عيبال	temp0247	#Q1975866	Wikidata	itin?		הר	fullAgreement
שכם	שכם	שכם	שכם	שכם	Shechem	شكيم	temp0248	#K5412	KIMA	itin?		עיר	fullAgreement
הר הגלבוע	הגלבוע	הגלבוע	הגלבוע		Mount Gilboa	جبل جلبوع	temp0249	#K33871	KIMA	itin?		הר	fullAgreement
				_	village		temp0250						AdlerOnly
מונטו גלבוי	מונטו גלב	מונטבלבומי	מננטו [מצונזר]	מונת גלבואי		جلبون.	temp0251	#K33871	KIMA				HaddadAsherAgreement
עמק אילון	אילון	אלון	אילון	אילון	Ajalon	وادي أيلون	temp0252	#K21722	KIMA	itin			fullAgreement
וואל דלונא	וואל דלונא	באלדלודה	וואלי דלונא	בר דלונאי	Val-de-Luna	وادي لونه	temp0253					עמק	fullAgreement
						يالو	253b						
גראן דוד	גראון דוד	גרגר	גארו דור	גרנר		جرن داود	temp0254	#Q311326	Wikidata	itin		עיר	fullAgreement
גבעון הגדולה	גבעון	גבעון	גבעון	גבעון	Gibeon	جبعون القديمة	temp0255					עיר	fullAgreement
	ירושלם	ירושלם	ירושלם	ירושלם			temp0256						HaddadOnly
(להר	הר המוריה	מהורמריאה	הר המוריה	מהור מריא	Mahomerie-le-Grand	جبل المورية	temp0257					הר	HaddadAsherAgreement
ירושלם					Jerusalem	بيت المقدس	temp0258	#K691	KIMA	itin		עיר	fullAgreement
ירושלם					Jerusalem	القدس	temp0259	#K691	KIMA			עיר קטנה ובצורה	fullAgreement
מגדל דוד	מגדל דוד	מגדל דוד	מגדל דוד	מגדל דוד	"Tower of
                        David"	لبرج داود	temp0260	#K21050	KIMA			מגדל	fullAgreement
					"Tower of
                        David"		temp0261	#K21050	KIMA				AdlerOnly
					"Tower of
                        David"		recogito-521bc461-7ccd-4a6d-87aa-bfc93eb23879	#K21050	KIMA				
שתי בתים אשפיטלי	#אשפיטלי	#האספיתאלי	#איספוטאלי	אשפיטאל	hospital	مستشفيان	temp0262			citysite			fullAgreement
בית שני	שפתלי שלמון	טמפלי שלמון	ספיראלי סאלמוני	טינפולי שלמון	"Temple of
                        Solomon"		temp0263						AsherAdlerAgreement
					Jerusalem		temp0264	#K691	KIMA				AdlerOnly
שפולקרי	_	שלפוקרי	_	שיפורקי	Sepulchre		temp0265	#Q3463426	Wikidata	citysite			AsherAdlerAgreement
ירושלם	ירושלם	ירושלם	ירושלם	ירושלם	Jerusalem	للقدس	temp0266	#K691	KIMA	cityDesc+sites?			fullAgreement
שער אברם	שנת אברם	אברם	שער אברהם	אברם	gate of Abraham	باب إبراهيم	temp0267						fullAgreement
שער דוד	דוד	דוד	דוד	דוד	gate of David	باب داود	temp0268						fullAgreement
שער ציון	ציון	ציון	ציון	ציון	gate of Zion	بات صهيون	temp0269						fullAgreement
		יהושפט		גושפט	gate of Gushpat		temp0270						fullAgreement
שער יהושפט	יהושפט	יהושפט	יהושפט	יהושפט	gate of Jehoshaphat	باب يوشفاط	temp0271						AdlerOnly
טמפלו דומינו	טמפלר דומינו	טימפלו רומינו	טימפלו רומאנו	שינפולי דומיני	Templum Domini		temp0272			citysite		מקום המקדש	AsherAdlerAgreement
כותל מערבי	מערבי	מערבי	מערבי	מערבי	western wall		temp0273			citysite			AsherAdlerAgreement
שער הרחמים	הרחמי'	רחמים	רחמים	הרחמים	"Gate
                        of Mercy,"		temp0274						AsherAdlerAgreement
ירושלים					Jerusalem	القدس	temp0275	#K691	KIMA	citysite			fullAgreement
ארוות הסוסים	הסוסים	סוסי'	סוסים	סוסים	stables		temp0276						AsherAdlerAgreement
הבריכה	הבריכה	הברכה	הבריכה	הברכה	pool	أطلال المذابح	temp0277			citysite			fullAgreement
שער	יהושפט	יהושפט	יהושפט	יהושפט	gate of Jehoshaphat	باب يوشفاط	temp0278			citysite			fullAgreement
	מדבר העמים	מדבר העמים	מדבר העמים	מדבר העמים	"valley of
                        Jehoshaphat, which is the gathering-place of nations"		temp0279						AdlerOnly
יד אבשלום	אבשלום	אבשלום	אבשלו'	אבשלום	"Absalom's
                        Hand"		temp0280	#K21099	KIMA				fullAgreement
קבר	עוזיה	עוזיהו	עזיהו	עוזיהו	sepulchre of King Uzziah	مرقد الملك عزية	temp0281					קבר	fullAgreement
מי השילוח	השילוח	שילוח	השילוח	השילוח	Waters of Siloam	نبع سلوان	temp0282			citysite			fullAgreement
נחל קדרון	קדרון	קדרון	קדרון	קדרון	Kidron	وادي قدرون	temp0283						fullAgreement
ירושלם					Jerusalem	القدس	temp0284	#K691	KIMA				fullAgreement
עמק יהושפט	יהושפט	יהושפט	יהושפט	יהושפט	"valley of
                        Jehoshaphat"	وادي يوشفاط	temp0285	#Q531729	Wikidata	itin			fullAgreement
הר הזתים	הזתים	_	הזיתים	הזתים	"Mount of
                        Olives"	جبل الزيتون	temp0286	#K2996	KIMA			הר	fullAgreement
ירושלם	ירושלם	_	ירושלם	ירושלם	Jerusalem		temp0287	#K691	KIMA				AsherAdlerAgreement
הר הזתים					Mount of Olives		temp0288	#K2996	KIMA			הר	AsherAdlerAgreement
הר הזתים	הזתים	_	הזיתים	הזתים	"Mount of
                        Olives"		temp0289	#K2996	KIMA			הר	AsherAdlerAgreement
ים	סדום	סדום	סדום	סדום	"Sea of
                        Sodom"		temp0290	#K1017	KIMA				AsherAdlerAgreement
ים סדום	סדום	סדום	סדום		Sea of Sodom	بحر سادوم	temp0291	#K1017	KIMA	itin?visual			fullAgreement
נציב מלח	נציב מלח	#נציב מלח	נציב מלח	נציב מלח	Pillar of Salt	نصب الملح	temp0292						fullAgreement
ארץ הככר	הככר	_	הככר	הככר			temp0292b						
נחל השטים	השטים	השיטים	השיטים	השטים	valley of Shittim		temp0293			itin@visual			AsherAdlerAgreement
הר נבו	נבו	נבו	נבו	נבו	Mount Nebo		temp0294					הר	AsherAdlerAgreement
ירושלם					Jerusalem	القدس	temp0295	#K691	KIMA	itin			fullAgreement
הר ציון	ציון	ציון	ציון		"Mount
                    Zion"	جبل صهيون	temp0296	#K5920	KIMA			הר	fullAgreement
במה	במה	במה	במה		place of worship	بيعة	temp0297					במה	fullAgreement
ירושלם					Jerusalem		temp0298	#K691	KIMA				AsherAdlerAgreement
שלשה בתים של קברי ישראל					 cemeteries	ثلاث مقابر قديمة لليهود	temp0299						fullAgreement
	_	בצלצח	_	צלצחו	Zelzah		recogito-6f006719-89fa-4973-baee-4933eee82191						
ירושלם					Jerusalem	القدس	temp0300	#K691	KIMA				fullAgreement
הר ציון					Mount Zion		temp0301	#K5920	KIMA			הר	AsherAdlerAgreement
קברי בית דוד	דוד	דוד	דוד		"sepulchres of the House of
                    David"	قبر الملك داود	temp0302					קבר	fullAgreement
קברי המלכים	המלכי'	המלכים	המלכים	המלכים	"sepulchres of the
                        kings"	سائر الملوك	temp0303					קבר	fullAgreement
הבמה אשר					church of 		temp0304					במה	AsherAdlerAgreement
יהודה					Judah		temp0305						AsherAdlerAgreement
קושטניטני	קושטניטני	קושסטנטינה	קושטאנטיני	קוסטנטיני		القسطنطيني	temp0306						HaddadAsherAgreement
ירושלם					Jerusalem		temp0307	#K691	KIMA				AsherAdlerAgreement
קברי בית דוד					sepulchres of the House of David	الكهف مرقد الملوك من آل داود	temp0308					קבר	fullAgreement
					Jerusalem		temp0310	#K691	KIMA	itin			AdlerOnly
בית לחם יהודה	לבית לחם יהודה	לבית לחם יהודה	לבית לחם יהודה	בית לחם	Bethlehem	بيت لحم	temp0311			itin			AdlerOnly
בית לחם	בית לחם	בטליאם	ביתלחם	בית ליאון	Beth-Leon	بيت إليون	temp0312	#K556	KIMA				fullAgreement
בית לחם							temp0314			itin			AsherOnly
מצבת קבורת	מצבת	מצבת	מצבת	מצבת	pillar of Rachel's grave	قبر راحيل	temp0315	#Q2424300	Wikidata	itin			fullAgreement
בית לחם					Bethlehem	بيت لحم	temp0316	#K556	KIMA	itin		ארץ*	fullAgreement
		ע׳ אברם דבירון		ש׳ אברם דברון	"St. Abram de
                        Bron"	St. Abram de  Bron	temp0317	#K40059	KIMA	itin		מדינת חברון היתה בהר והיא חרבה היום הזה ובעמק השדה בשדה המכפלה שם העיר	fullAgreement
חברון						الخليل	temp0317b						
מדינת חברון					Hebron		temp0318					מדינה	AsherAdlerAgreement
שדה המכפלה	המכפלה	המכפילה	המכפלה	המכפלה	field of Machpelah		temp0319						AsherAdlerAgreement
שנט אברהם	שנט אברהם	ע' אברם	סאנט אברהם	ש' אברם	St. Abram		temp0320	#Q204200	Wikidata	citysite			AsherAdlerAgreement
מערה					cave	مغارة	temp0321						fullAgreement
שדה המכפלה					field of Machpelah		temp0322			citysite			AsherAdlerAgreement
ביתו של					"house
                        of "		temp0323					בית	AsherAdlerAgreement
					Hebron		temp0324						AdlerOnly
בית גברין	בית גברין	בית יבריק	בית גבירין	בין גברין	Beit Jibrin	بيت جبرين	temp0325	#K21427	KIMA	itin			fullAgreement
						بيت جبر	temp0326						HaddadOnly
מרשה	מרשה	מרשה	מרשה	מרשה	Mareshah		temp0327	#K4206	KIMA				AsherAdlerAgreement
טורון דו לוש גבללריש*)	לטורון דולוש גברא לריש	לטרון דלושגיב לירש	לטורון דלוס גבראלריש	_		قلعة الحصن	temp0328	#K13834	KIMA	itin			HaddadAsherAgreement
שונם	שונם	_	שובם	_			temp0329	#Q2916070	Wikidata				AsherOnly
שנט שמואל דשילה	שנט	ע'	סאנ'	ש'	St. Samuel of Shiloh	سنت صموئيل	temp0330	#Q2907254	Wikidata	itin			fullAgreement
שילה	שילה	שלה	שילה	שילה	Shiloh	شيلو	temp0331	#Q985542	Wikidata				fullAgreement
ירושלם					Jerusalem	القدس	temp0332	#K691	KIMA				fullAgreement
רמלה	רמלה	_	רמלה	רמלה	Ramlah	الرملة	temp0333	#Q221447	Wikidata				fullAgreement
רמה	רמה	הרמה	רמה	הרמה	Ramah		temp0334						AsherAdlerAgreement
קברו של					"grave of Samuel the
                        Ramathite"		temp0335					קבר	AsherAdlerAgreement
שילה	שילה	שילה	שילה	שילה	Shiloh		temp0336	#Q985542	Wikidata				AsherAdlerAgreement
שנט שמואל דשילה	שנט	ע'	סאנט	ש'	St. Samuel of Shiloh	دير القديس صموئيل	temp0337	#Q2907254	Wikidata				fullAgreement
פשיפוה	#מוריה לפשופוה	מהומריאה לפטיטה	#מוריה לפיסיפיה	מרומריה לפטיטה	Mahomerie-le-petit	بيسان Baisan	temp0338	#Q6041947*	Wikidata	itin			fullAgreement
גבעת שאול					Gibeah of Saul	جبعة شاءول	temp0339						fullAgreement
גבע בנימן	בנימן	בנימן	בנימן	בנימן	"Gibeah of
                    Benjamin"		temp0340						AsherAdlerAgreement
בית נובי	בית נובי	בית טרובי	נובי	בית נאובי	"Beit
                        Nuba"	بيت النبي	temp0341	#Q4874907	Wikidata	itin		בית	fullAgreement
נוב	נוב	נוב	נוב	נוב	Nob		temp0342	#K26059	KIMA	idt		עיר הכהנים	AsherAdlerAgreement
שני הסלעים של					two crags of Jonathan		temp0343						AsherAdlerAgreement
בוצן	בוצץ	בוצין	פוצן	בוצץ	Bozez		temp0344			itin		סלע	AsherAdlerAgreement
סנה	סנה	סנה	סנה	סנה	Seneh		temp0345					סלע	AsherOnly
רמש	לרמש	לרמיש	לרמה	_	Rams	الرملة Ramah	temp0346	#Q221447	Wikidata	itin		היתה עיר גדולה מאד	fullAgreement
הרמה	הרמה	הרמה	הרמה	הרמה	Ramleh		temp0347					(היתה)עיר	AsherAdlerAgreement
גאפה	גאפה	#_	גאפא	גפו	Y[=a]fa	يافة	temp0348	#K45933	KIMA	itin			fullAgreement
יפו	יפו	ליפו	יפו	יפו	Jaffa		temp0349	#K45933	KIMA				AsherAdlerAgreement
איבלין	איבלין	איבילין	אבלת	איבלין	Ibelin	إبلين	temp0350	#K9637	KIMA	itin	עד הנה גבול אפרים		fullAgreement
יבנה	יבנה	יבנה	יבנה	יבנה	Jabneh	يبنة	temp0351	#K9637	KIMA		עד הנה גבול אפרים		fullAgreement
פלמיס	פלמיס	פילמר	פאלמה	פלמיד	Palmid		temp0352	#U19		itin			AsherAdlerAgreement
אשדוד	אשדוד	אשדוד	אשדות	אשדוד	Ashdod	أشدود	temp0353	#Q12412087	Wikidata				fullAgreement
אשקלונה	אשקלונה	אשקלונה	אשקלון	אשקלונה	Ashkelonah	عسقلان	temp0354	#Q104664899	Wikidata	itin		עיר	fullAgreement
אשקלון החדשה	אשקלון	_	אשקלון	אשקלון	"New
                        Askelon"	عسقلان الجديدة	temp0355				יושבת בקצה גבול מצרים		fullAgreement
בניברה	סניברה	_	בטכרה	בני ברק	Bene Berak		temp0356						AsherAdlerAgreement
אשקלון הקדומה	מאשקלון	_	מאשקלון	מאשקלון	Askelon		temp0357						AsherAdlerAgreement
					New Askelon		temp0358						AdlerOnly
						عسقلان الجديدة	temp0359						HaddadOnly
מצרים	ביר	באר	ביר	ביר	Egypt	مصر	temp0360	#K8046	KIMA				fullAgreement
ביר	ביר אברהים אל כליל	באר אברהם אבינו	ביר אברהם אלכליל	ביר אברהם	Bir Abraham	بئر	temp0361					בור	fullAgreement
סגורש*)	סגורש	#_	סאגוריס	שרגורש	St. George	القديس جورج	temp0362	#K48396	KIMA	itin			fullAgreement
לוד	היא	_	היא	היא	Ludd	اللد	temp0363	#K48396	KIMA				fullAgreement
זריין**)	זרזין	זירין	זרזית	זרא	Zerin	زيرين	temp0364	#K21480	KIMA	itin			fullAgreement
יזרעאל	יזרעאל	יזרעאל	יזרעאל	יזרעאל	Jezreel	يزرعيل	temp0365	#K21480	KIMA				fullAgreement
שיפוריה	שיפוריה	שפוריאה	סיפוריא'	שפוריה	Saffuriya	صفورية	temp0366	#K3544	KIMA	itin			fullAgreement
צפורי	צפורי	צפורי	צפורי	ציפורי	Sepphoris	صفوري	temp0367	#K3544	KIMA				fullAgreement
בבל					Babylon		temp0368						AdlerOnly
טיבריה	טיבריה	טבריאה	טיביריא'	טביריה	Tiberias	طبرية	temp0369	#K807	KIMA	itin			fullAgreement
ירדן					Jordan	الأردن	temp0370						fullAgreement
ים כנרת					Sea of Chinnereth	بحر طبرية	temp0371						fullAgreement
הירדן	הירדן	הירדן	הירדן	הירדן	Jordan		temp0372						AsherAdlerAgreement
					"Lake of
                        Chinnereth"		recogito-0e43503b-8832-4b98-a3dc-ff1835f56b8c						
					Jordan		temp0373						AdlerOnly
	ארץ הככר	ארץ הככר	ארץ הככר	ארץ הככר			temp0373b						
אשדות הפסגה	אשדות הפסגה	אשדות הפסגה	אשדות הפסגה	אשדות הפסגה	Ashdoth Hapisgah		temp0374			itin?geography		מקום	AsherAdlerAgreement
ים סדום	סדום	סדום	סדום	סדום	"Sea of
                        Sodom"	بحر الأسفلت	temp0375	#K1017	KIMA				fullAgreement
ים המלח	המלח	המלח	המלח	המלח	"Salt
                        Sea"	البحر المالح	temp0376	#K1017	KIMA				fullAgreement
טבריה	טבריה	טבריא	טבריה	טבריה	Tiberias	طبرية	temp0377	#K807	KIMA	itin			fullAgreement
חמי טבריה	טבריה	טבריא	טבריה	טבריה	Tiberias	الحمامات الحارة	temp0378						fullAgreement
כנסת					Synagogue of 	كنيس كالب	temp0379						fullAgreement
גליל התחתון					"Lower
                    Galilee"		temp0380						AsherAdlerAgreement
טימין	טימין	טימין	תימין	תיימין	Tymin	تبنين	temp0381			itin			fullAgreement
תמנתה	תמנתה	תמנתה	תמנתה	תמנתה	 Timnathah	تمنة	temp0382						fullAgreement
קבר							temp0383					קבר	AsherAdlerAgreement
עשת	לעשת	לגושה	לעשת			جوش	temp0384	#Q2912620	Wikidata	itin			HaddadAsherAgreement
גוש חלב	גוש חלב	גוש חלב	גוש חלב				temp0385	#Q2912620	Wikidata				AsherOnly
מרן	מרן	מרון	מרן	מדון	Medon		temp0386			itin			AsherAdlerAgreement
מרון	מרון	מרון	מירון	מדון	Meron	ميرون	temp0387	#K236	KIMA				fullAgreement
מערה					cave	غار	temp0388			?			fullAgreement
קברי						قبور	temp0389					קבר	HaddadAsherAgreement
קבר					sepulchres of 	قبر بنيامين بن يافث	temp0390					קבר	fullAgreement
				_		قبر يهوذا بن بثيرة	temp0391						fullAgreement
				_	Meron		temp0392	#K236	KIMA				AdlerOnly
עלמה	עלמה	#_	עלם	עלמה	Almah	علمة	temp0393	#K21705	KIMA	itin			fullAgreement
בית הקברות				_	cemetery	مقبرة	temp0394					בית קברות	fullAgreement
קאדיס	קאדיס	#_	קדים	קדס	Kades	قادس	temp0395			itin			AsherOnly
קדש נפתלי	קדש נפתלי	_	מקדש נפתלי	קדש נפתלי	"Kedesh
                        Naphtali,"		temp0396						AsherOnly
הירדן					Jordan	الأردن،	temp0397						AsherOnly
קבר					"sepulchres of
                        "	قبور الرابيين إلعازر بن عرخ	temp0398					קבר	fullAgreement
						إلعازر بن عزرية	temp0399						fullAgreement
						وحوني	temp0400						fullAgreement
							temp0401						AsherAdlerAgreement
						شمعون بن غمليال	temp0402						HaddadOnly
							temp0403						AsherAdlerAgreement
						يوسي الجليلي	temp0404						HaddadOnly
קבר					sepulchre of 	مرقد برق بن أبي نعم	temp0408					קבר	fullAgreement
בלינוס	בלינוס	#_	בלינוס	בניאס	Banias	بلنياس	temp0409			itin	עד הנה גבול ישראל		fullAgreement
דן	דן	_	דן	דן	Dan		temp0410						AsherAdlerAgreement
						بانياس	temp0411						HaddadOnly
מערה					cavern	الغار	temp0412						fullAgreement
הירדן					Jordan	الأردن	temp0413						fullAgreement
נחל ארנון					Arnon	نهر أرنون	temp0414				יורד מגבול מואב		fullAgreement
מואב					Moab	موآب	temp0415						fullAgreement
ישראל					land of Israel	مملكة بني إسرائيل	temp0416	#K2501	KIMA				fullAgreement
דמשק	דמשק	_	לדמשק	דמשק	Damascus	دمشق	temp0417	#K939	KIMA	itin	תחלת ממשלת נור אל דין מלך תוגרמים	עיר	fullAgreement
חרמון	חרמון	_	חרמון	חרמון	Mount Hermon	حرمون	temp0418	#K21726	KIMA	geography		עיר	fullAgreement
אמנה	אמנה	_	אמנה	אמנה	Amana	أبانة	temp0419	#Q765106	Wikidata				fullAgreement
פרפר	פרפר	_	פרפר	פרפר	Pharpar	فرفر	temp0420						fullAgreement
חרמון					Mount Hermon		temp0421	#K21726	KIMA				AsherAdlerAgreement
אמנה					Amana	أبانة	temp0422	#Q765106	Wikidata				fullAgreement
פרפר					Pharpar	فرفر	temp0423						fullAgreement
גומאע דמשק	גומאע דומשק	_	גומאע דומאסקו	גאמע דמשק	" Gami of
                        Damascus"	جامع دمشق	temp0424			citysite		כניסה	fullAgreement
ארמונת					" palace of
                            "	قصر ابن هدد	temp0425						fullAgreement
					"land of
                        Israel"	فلسطين	temp0426	#K2501	KIMA				HaddadAdlerAgreement
גלעד	גלעד	#_	גלעד	גלעיד	Galid	جلعد	temp0427			itin			fullAgreement
גלעד	גלעד	_	גלעד	גלעד	Gilead	جلعد	temp0428						fullAgreement
סלכאת	סלכאת	#_	סאלכהר	סלכת	Salkat	صرخد	temp0429			itin			fullAgreement
עיר סלכה	סלכה	_	סלכה	סלכה	Salchah	مدينة	temp0430						fullAgreement
בעל ביק	לבעל ביק	_	לבעל ביק		Baalbec	بعلبك	temp0431	#K10819	KIMA	itin			fullAgreement
בעלת	בעלת	_	בעלת	בעלות	Baalath		temp0432						AsherAdlerAgreement
בקעת הלבנון	בקעת		בקעת	בקעת	plains of Lebanon		temp0433	#K3976	KIMA				AsherAdlerAgreement
תדמור	תדמור	_	תדמור	תדמור	Tarmod 	تدمر	temp0434	#K12562	KIMA	ex?itin			fullAgreement
תדמור	תדמור	_	תדמור	תדמור	Tarmod		temp0435	#K12562	KIMA			עיר	AsherAdlerAgreement
בעלת	מבעלת	_	מבעל	מבעלות	Baalath	بعلبك	temp0436						fullAgreement
תדמור					Tarmod		temp0437	#K12562	KIMA				AsherAdlerAgreement
קריתין	קריתין	#_	קדירין	קריתין	Karjat[=e]n	القريتين	temp0438	#Q4703079	Wikidata	itin			HaddadAsherAgreement
	_	_	_		Baalbec		temp0439						AdlerOnly
קריתים	קריתים	_	קריתים	קריתים	Kirjathim		temp0440						fullAgreement
	_	_	_	חמצן	Emesa	حمص	temp0441						HaddadOnly
	_	_	_	עיר הצמרי		صمارايم	temp0441b						
חמה	חמה	#_	חמה	חמה	Hamah	حماة	temp0443	#K11554	KIMA	itin		עיר	fullAgreement
חמת	חמת	_	חמת	חמת	Hamath		temp0444	#K11554	KIMA				AsherAdlerAgreement
נהר יבוק	יבוק	_	יבוק	יבק	Jabbok	نهر يبوق	temp0445						fullAgreement
הר הלבנון					"Mount
                        Lebanon"	لبنان	temp0446	#K15821	KIMA			הר	fullAgreement
שיהא*)	שיהא	שיהה	שיהא	שיזא	Sheizar	شيزر	temp0447	#K23345	KIMA	itin			fullAgreement
חצור	חצור	חצור	חצור	חצור	Hazor		temp0448						AsherAdlerAgreement
למדין	למדין	לדמין	לממדית	דימין	Dimin 	لمدين	temp0449			itin			fullAgreement
חלב	חלב	חלב	חלב	חלב	Haleb 	حلب	temp0450	#K794	KIMA	itin		עיר מלוכה	fullAgreement
ארם צובה	צובה	צובה	צובה	צובה	Aram Zoba	أرم صوبة	temp0451	#K794	KIMA				fullAgreement
באליץ	באליץ	ביליץ	כליץ	כליץ	Balis	بالس	temp0452	#Q3634572	Wikidata	itin			fullAgreement
פתורה	פתורה	_	פתורה	פתורה	Pethor		temp0453						AsherAdlerAgreement
נהר פרת	פרת	פרת	פרת	פרת	Euphrates		temp0454	#K1412	KIMA				AsherAdlerAgreement
קלע גבר	קלע גבר	קלעה גבאר	קלע גבר	קלעת גברי	"Kalat
                        Jabar"	قلعة جعبر	temp0455	#Q1857888	Wikidata	itin			fullAgreement
סלע מדברה	סלע מדברה	סלע מדברה	סלע מדבר	סלע מדברה	Selah		temp0456						fullAgreement
רקיא	דקיא	זרקה	דקיא	ראקיה	Rakka	الرقة	temp0457	#K20273	KIMA	itin	בתחלת ארץ שנער החולקת בין מלכות התוגרמים וארץ שנער		fullAgreement
כלנה	כלנה	סלכה	בלנה	סלכה	Salchah	كلنة	temp0458						fullAgreement
שנער	שנער	שנער	שנער	שנער	Shinar	شنعار	temp0459	#Q1404297	Wikidata				fullAgreement
שנער	שנעשר		שנער	שנער			temp0460	#Q1404297	Wikidata				AsherOnly
כנסת מבנין						كنيسة	temp0461						fullAgreement
בבל					Babylon	بابل	temp0462	#U4					fullAgreement
ירושלם					Jerusalem	القدس	temp0463	#K691	KIMA				fullAgreement
חרן הקדמונה	חרן	חרן	חרן	חרן	Harr[=a]n	حران	temp0464			itin			fullAgreement
כנסת עזרא					synagogue	كنيسة قديمة يقال: إنها من بناء عزرا	temp0465						fullAgreement
ביתו של					house of 	بيت تارح	temp0466					בית	fullAgreement
		ראס אלעיין		ראס אל עין	Ras-el-Ain		temp0466b	#Q1023330	Wikidata				
אל כבור	אל כבור	_	אלככור	אל כביר	El Khabur	حابور	temp0467	#K4883	KIMA	itin?		נהר	AsherOnly
חבור	חבור	_	חבור	חבור	Habor	الخابور	temp0469	#K4883	KIMA			*נהר	HaddadAsherAgreement
מדי	מדי	_	מדי	מדי	Media	مادي	temp0472	#K22613	KIMA				fullAgreement
גוזן	גוזן	גוזן	גוזן	גוזן	Gozan	غوزان	temp0473					נהר	fullAgreement
נציבין	לנציבין	נציבין	_	_		نصيبين	temp0474	#K22186	KIMA	itin		עיר	HaddadAsherAgreement
גזיר בן עמר	גזיר' בן עמר	גזריאה אבאן עומר	גזיר בן עמר	גזירה אבן עמר	"Geziret
                        Ibn Omar"	جزيرة ابن عمر	temp0475	#K20455	KIMA	itin		מדינה	fullAgreement
חדקל	חדקל	חדקל	חדקל	חדקל	Hiddekel 	دجلة	temp0476	#K2273	KIMA				fullAgreement
הרי אררט	אררט	אררט	אררט	אררט	Ararat	أراراط،	temp0477					הרי	fullAgreement
כנסת עזרא הסופר					Synagogue	كنيسة لليهود من بناء عزرا	temp0478					כנסת	fullAgreement
גזירה	גזירה עמר בן אל כטאב	_	גזירה עמר בן אלחטב	גזירת עמר	"Geziret
                        Omar"	جزيرة	temp0479						fullAgreement
אל-מוצל	אל מוצל	אלמנטל	אלמוצל	למוצל	Mosul	الموصل	temp0480	#K6985	KIMA	itin	תחלת ארץ פרס	עיר	fullAgreement
אשור הגדולה	אשור	אשור	אשור	אשור	Assur	أشور الكبرى	temp0481						fullAgreement
דמשק	דמשק	דמשק	דמשק	דמשק	Damascus	الشام	temp0482	#K939	KIMA	biographic			fullAgreement
						الموصل	temp0483						HaddadOnly
פרס	פרס	פרס	פרס	פרס	Persia	العجم	temp0484	#K7639	KIMA	border			fullAgreement
נהר חדקל					Hiddekel 	نهر دجلة	temp0485	#K2273	KIMA				fullAgreement
נינוה	נינוה	ננוה	נינוה	ננוה	Nineveh	نينوى	temp0486	#K14078	KIMA				fullAgreement
					Nineveh		temp0487	#K14078	KIMA				AdlerOnly
נינוה						نينوى	temp0488	#K14078	KIMA				HaddadAsherAgreement
						دجلة	temp0489						HaddadOnly
ארבאל	אדבאל	אדבאל	אדבאל	אל באל	Irbil	إربل	temp0490	#K12037	KIMA	itin		עיר	fullAgreement
נינוה					Nineveh		temp0491	#K14078	KIMA			עיר (חרבה אבל יש שם כפרים וכרכים רבים)	AsherAdlerAgreement
חדקל					Hiddekel		temp0492	#K2273	KIMA				AsherAdlerAgreement
אשור					Assur 	الموصل	temp0493						fullAgreement
כנסת					synagogue of 	كنيسة عوبدية	temp0494			citysite		כנסת	fullAgreement
כנסת							temp0495					כנסת	AsherOnly
כנסת					synagogue of Nahum the Elkoshite	كنيسة ناحوم	temp0496					כנסת	fullAgreement
